entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason	cum_pnl
2024-10-15T22:54:00+09:00	40135.0	1800	40085.0	-2100.0	LONG	HORIZON	-24683.4
2024-10-16T01:48:00+09:00	39770.0	1800	39560.0	-4600.0	LONG	HORIZON	-29283.4
2024-10-16T03:47:00+09:00	39725.0	1800	39760.0	300.0	LONG	HORIZON	-28983.4
2024-10-16T05:39:00+09:00	39860.0	1800	39590.0	-8700.0	LONG	HORIZON	-37683.4
2024-10-16T07:32:00+09:00	39935.0	1800	40085.0	3900.0	LONG	HORIZON	-33783.4
2024-10-18T18:06:00+09:00	39130.0	1800	39045.0	-3150.0	LONG	HORIZON	-36933.4
2024-10-19T00:01:00+09:00	39025.0	5340	39056.4	340.9	LONG	TP	-36592.5
2024-10-19T06:34:00+09:00	39355.0	1380	39324.8	203.9	SHORT	TP	-36388.6
2024-10-19T08:29:00+09:00	39150.0	300	39200.9	926.2	LONG	TP	-35462.4
2024-10-21T17:51:00+09:00	38960.0	1800	38825.0	-3100.0	LONG	HORIZON	-38562.4
2024-10-22T17:46:00+09:00	39025.0	480	38965.8	1176.6	SHORT	TRAILING_SL	-37385.8
2024-10-22T19:04:00+09:00	38470.0	420	38424.3	-1970.5	LONG	TRAILING_SL	-39356.3
2024-10-22T23:08:00+09:00	38445.0	780	38425.8	-1176.1	LONG	TRAILING_SL	-40532.4
2024-10-23T02:26:00+09:00	39140.0	180	39158.7	-387.5	SHORT	TRAILING_SL	-40919.9
2024-10-23T08:27:00+09:00	39050.0	180	39013.7	488.7	SHORT	TP	-40431.2
2024-10-24T14:04:00+09:00	37880.0	2280	37875.0	-500.0	LONG	HORIZON	-40931.2
2024-10-24T19:24:00+09:00	38265.0	180	38300.4	-1108.2	SHORT	TRAILING_SL	-42039.4
2024-10-25T08:04:00+09:00	37950.0	1560	37987.1	514.0	LONG	TP	-41525.4
2024-10-25T19:59:00+09:00	37780.0	180	37762.6	-1122.3	LONG	TRAILING_SL	-42647.7
2024-10-25T22:17:00+09:00	37780.0	600	37810.0	200.0	LONG	TP	-42447.7
2024-10-26T00:00:00+09:00	37900.0	420	37930.0	300.0	LONG	TP	-42147.7
2024-10-28T17:48:00+09:00	37620.0	1800	38615.0	29250.0	LONG	HORIZON	-12897.7
