entry_ts	entry_price	exit_ts	exit_price	pnl	dir	reason
2024-03-08 20:04:00.000000000	39175.0	2024-03-08 20:16:00.000000000	39144.7	10.3	SHORT	TP
2024-03-11 02:09:00.000000000	39010.0	2024-03-11 02:20:00.000000000	38951.6	38.4	SHORT	TP
2024-03-11 09:52:00.000000000	38520.0	2024-03-11 10:51:00.000000000	38525.0	-15.0	LONG	HORIZON
2024-03-11 14:34:00.000000000	38380.0	2024-03-11 14:48:00.000000000	38441.9	41.9	LONG	TP
2024-03-11 22:58:00.000000000	39175.0	2024-03-11 23:05:00.000000000	39275.0	-120.0	SHORT	SL
2024-03-12 09:02:00.000000000	38150.0	2024-03-12 09:14:00.000000000	38050.0	-120.0	LONG	SL
2024-03-12 13:54:00.000000000	38370.0	2024-03-12 14:23:00.000000000	38470.0	-120.0	SHORT	SL
2024-03-13 04:32:00.000000000	38825.0	2024-03-13 04:35:00.000000000	38802.4	2.6	SHORT	TP
2024-03-14 08:54:00.000000000	38400.0	2024-03-14 09:00:00.000000000	38369.8	10.2	SHORT	TP
2024-03-18 02:40:00.000000000	38555.0	2024-03-18 02:49:00.000000000	38515.2	19.8	SHORT	TP
2024-03-18 11:11:00.000000000	39320.0	2024-03-18 11:31:00.000000000	39256.2	43.8	SHORT	TP
2024-03-18 17:16:00.000000000	38630.0	2024-03-18 18:15:00.000000000	38660.0	-50.0	SHORT	HORIZON
2024-03-18 22:09:00.000000000	38605.0	2024-03-18 23:01:00.000000000	38505.0	-120.0	LONG	SL
2024-03-19 09:03:00.000000000	39275.0	2024-03-19 09:04:00.000000000	39332.1	37.1	LONG	TP
2024-03-21 02:02:00.000000000	39840.0	2024-03-21 03:01:00.000000000	39770.0	-90.0	LONG	HORIZON
2024-03-21 14:01:00.000000000	40570.0	2024-03-21 15:00:00.000000000	40580.0	-10.0	LONG	HORIZON
2024-03-21 19:31:00.000000000	39640.0	2024-03-21 20:30:00.000000000	39520.0	-140.0	LONG	HORIZON
2024-03-22 05:15:00.000000000	40750.0	2024-03-22 05:17:00.000000000	40776.7	6.7	LONG	TP
2024-03-22 11:42:00.000000000	40565.0	2024-03-22 12:41:00.000000000	40575.0	-10.0	LONG	HORIZON
2024-03-25 09:01:00.000000000	40545.0	2024-03-25 09:23:00.000000000	40579.0	14.0	LONG	TP
2024-03-25 14:14:00.000000000	40410.0	2024-03-25 14:38:00.000000000	40310.0	-120.0	LONG	SL
2024-03-25 21:03:00.000000000	40540.0	2024-03-25 21:09:00.000000000	40569.5	9.5	LONG	TP
2024-03-26 04:51:00.000000000	40140.0	2024-03-26 04:51:00.000000000	40124.1	-4.1	SHORT	TP
2024-03-26 12:43:00.000000000	40060.0	2024-03-26 12:47:00.000000000	40100.8	20.8	LONG	TP
2024-03-28 02:13:00.000000000	40350.0	2024-03-28 03:17:00.000000000	40373.4	3.4	LONG	TP
2024-03-28 11:31:00.000000000	40285.0	2024-03-28 12:09:00.000000000	40334.9	29.9	LONG	TP
2024-03-29 03:57:00.000000000	40325.0	2024-03-29 04:58:00.000000000	40345.0	-40.0	SHORT	HORIZON
2024-04-01 09:12:00.000000000	40605.0	2024-04-01 09:15:00.000000000	40546.9	38.1	SHORT	TP
2024-04-02 09:49:00.000000000	40055.0	2024-04-02 10:05:00.000000000	39972.7	62.3	SHORT	TP
2024-04-02 14:35:00.000000000	39785.0	2024-04-02 14:38:00.000000000	39832.9	27.9	LONG	TP
2024-04-03 09:16:00.000000000	39250.0	2024-04-03 09:19:00.000000000	39344.5	74.5	LONG	TP
2024-04-04 09:53:00.000000000	40200.0	2024-04-04 10:01:00.000000000	40100.0	-120.0	LONG	SL
2024-04-04 15:01:00.000000000	39835.0	2024-04-04 16:30:00.000000000	39735.0	-120.0	LONG	SL
2024-04-05 02:33:00.000000000	39865.0	2024-04-05 02:42:00.000000000	39849.4	-4.4	SHORT	TP
2024-04-05 09:32:00.000000000	39100.0	2024-04-05 09:57:00.000000000	39000.0	-120.0	LONG	SL
2024-04-05 13:40:00.000000000	38955.0	2024-04-05 14:39:00.000000000	38950.0	-25.0	LONG	HORIZON
2024-04-05 22:17:00.000000000	39945.0	2024-04-05 22:39:00.000000000	39923.1	1.9	SHORT	TP
2024-04-08 09:01:00.000000000	39370.0	2024-04-08 09:01:00.000000000	39329.1	20.9	SHORT	TP
2024-04-08 13:21:00.000000000	39285.0	2024-04-08 13:31:00.000000000	39336.9	31.9	LONG	TP
2024-04-09 08:46:00.000000000	39500.0	2024-04-09 08:49:00.000000000	39521.4	1.4	LONG	TP
2024-04-10 05:03:00.000000000	39630.0	2024-04-10 08:45:00.000000000	39591.9	18.1	SHORT	TP
2024-04-11 02:03:00.000000000	39185.0	2024-04-11 02:06:00.000000000	39085.0	-120.0	LONG	SL
2024-04-11 09:08:00.000000000	39120.0	2024-04-11 09:23:00.000000000	39182.2	42.2	LONG	TP
2024-04-11 21:32:00.000000000	39305.0	2024-04-11 21:33:00.000000000	39349.8	24.8	LONG	TP
2024-04-12 19:47:00.000000000	39230.0	2024-04-12 20:00:00.000000000	39259.5	9.5	LONG	TP
2024-04-15 09:02:00.000000000	39000.0	2024-04-15 09:04:00.000000000	39060.8	40.8	LONG	TP
2024-04-15 14:51:00.000000000	39150.0	2024-04-15 16:30:00.000000000	39250.0	-120.0	SHORT	SL
2024-04-16 02:01:00.000000000	39040.0	2024-04-16 02:18:00.000000000	38992.6	27.4	SHORT	TP
2024-04-16 09:01:00.000000000	38580.0	2024-04-16 09:01:00.000000000	38628.6	28.6	LONG	TP
2024-04-16 14:04:00.000000000	38415.0	2024-04-16 14:06:00.000000000	38459.9	24.9	LONG	TP
2024-04-16 21:33:00.000000000	39420.0	2024-04-16 21:50:00.000000000	39388.3	11.7	SHORT	TP
2024-04-17 10:31:00.000000000	38220.0	2024-04-17 10:51:00.000000000	38313.6	73.6	LONG	TP
2024-04-17 14:57:00.000000000	38015.0	2024-04-17 15:04:00.000000000	37915.0	-120.0	LONG	SL
2024-04-18 04:29:00.000000000	37720.0	2024-04-18 04:43:00.000000000	37780.0	40.0	LONG	TP
2024-04-18 12:31:00.000000000	38150.0	2024-04-18 12:37:00.000000000	38110.2	19.8	SHORT	TP
2024-04-18 21:26:00.000000000	38050.0	2024-04-18 21:47:00.000000000	38150.0	-120.0	SHORT	SL
2024-04-19 02:06:00.000000000	37880.0	2024-04-19 02:11:00.000000000	37829.7	30.3	SHORT	TP
2024-04-19 09:26:00.000000000	37360.0	2024-04-19 09:57:00.000000000	37278.1	61.9	SHORT	TP
2024-04-19 14:31:00.000000000	37225.0	2024-04-19 14:55:00.000000000	37125.0	-120.0	LONG	SL
2024-04-19 21:36:00.000000000	38010.0	2024-04-19 21:45:00.000000000	37975.2	14.8	SHORT	TP
2024-04-22 02:04:00.000000000	37245.0	2024-04-22 02:54:00.000000000	37307.4	42.4	LONG	TP
2024-04-22 20:11:00.000000000	37425.0	2024-04-22 20:31:00.000000000	37463.5	18.5	LONG	TP
2024-04-23 08:47:00.000000000	37755.0	2024-04-23 09:11:00.000000000	37729.3	5.7	SHORT	TP
2024-04-24 05:21:00.000000000	37890.0	2024-04-24 05:45:00.000000000	37915.5	5.5	LONG	TP
2024-04-24 12:41:00.000000000	38400.0	2024-04-24 13:15:00.000000000	38361.3	18.7	SHORT	TP
2024-04-24 22:01:00.000000000	37605.0	2024-04-24 22:11:00.000000000	37626.6	1.6	LONG	TP
2024-04-25 04:14:00.000000000	38160.0	2024-04-25 05:07:00.000000000	38119.3	20.7	SHORT	TP
2024-04-25 12:50:00.000000000	37675.0	2024-04-25 13:01:00.000000000	37715.6	20.6	LONG	TP
2024-04-25 21:33:00.000000000	38300.0	2024-04-25 21:35:00.000000000	38268.5	11.5	SHORT	TP
2024-04-26 09:04:00.000000000	37680.0	2024-04-26 09:10:00.000000000	37735.4	35.4	LONG	TP
2024-04-26 14:46:00.000000000	37980.0	2024-04-26 14:59:00.000000000	37924.9	35.1	SHORT	TP
