 2024-06-03: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.8330937973888731, pnl: -6.0, avg_pnl: -2.293004274368286, score: -0.17123593971921036, threshold_trade: 0.478271484375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 29, trades: []
 2024-06-04: n_trades: 2, win_rate: 0.5, pf: 1.2289880683542034, pnl: 8.0, avg_pnl: 4.053804397583008, score: -0.12256757968060736, threshold_trade: 0.59328125, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 11, trades: []
 2024-06-05: n_trades: 0, win_rate: 0.0, score: -inf
 2024-06-06: n_trades: 2, win_rate: 0.5, pf: 0.46609795888264977, pnl: -31.0, avg_pnl: -16.017061233520508, score: -0.18402904960938687, threshold_trade: 0.457763671875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 31, trades: []
 2024-06-07: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 95.0, avg_pnl: 31.673095703125, score: 2.3862453886339527, threshold_trade: 0.4684082031250001, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 36, trades: []
 2024-06-10: n_trades: 3, win_rate: 0.6666666666666666, pf: 1.117587947845459, pnl: 4.0, avg_pnl: 1.56783926486969, score: -0.13297244836611832, threshold_trade: 0.468994140625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 39, trades: []
 2024-06-11: n_trades: 1, win_rate: 1.0, pf: inf, pnl: 25.0, avg_pnl: 25.336605072021484, score: 1.0793665061981645, threshold_trade: 0.39892578125, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 66, trades: []
 2024-06-12: n_trades: 2, win_rate: 0.0, pf: 0.0, pnl: -61.0, avg_pnl: -30.951171875, score: -1.6612790663302577, threshold_trade: 0.56103515625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 4, trades: []
 2024-06-13: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 98.0, avg_pnl: 32.73393630981445, score: 2.376536617359606, threshold_trade: 0.505, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 75, trades: []
 2024-06-14: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 46.0, avg_pnl: 23.285581588745117, score: 1.8203653979882464, threshold_trade: 0.525390625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 22, trades: []
